"","week.counter","week","week.first","month","season","year","dark.before.12","tmax.f","tmin.f","precip.in","snow.in","school","total","homicide","shooting","rape","robbery.carjacking","robbery.street","robbery.commercial","robbery.residence","aggravated.assault","assault.by.threat","common.assault","burglary","larceny.from.auto","larceny","auto.theft","arson","northwestern","northern","northeastern","western","central","eastern","southwestern","southern","southeastern","homicide.northwestern","homicide.northern","homicide.northeastern","homicide.western","homicide.central","homicide.eastern","homicide.southwestern","homicide.southern","homicide.southeastern","shooting.northwestern","shooting.northern","shooting.northeastern","shooting.western","shooting.central","shooting.eastern","shooting.southwestern","shooting.southern","shooting.southeastern"
"31",40,39,2010-09-27,9,4,10,5.16428571428571,72.0757142857143,57.4314285714286,1.04522850571429,0,0.714285714285714,1053,3,4,8,11,64,9,8,97,16,168,183,146,221,107,8,135,104,174,91,99,90,80,133,147,0,0,1,2,0,0,0,0,0,1,0,0,0,0,2,1,0,0
"32",41,40,2010-10-04,10,4,10,5.34714285714286,66.1357142857143,50.7071428571429,0.113278738571429,0,0.714285714285714,951,8,8,5,3,46,8,18,119,9,176,129,135,205,79,3,115,103,126,95,103,67,76,118,147,1,0,3,1,0,0,1,2,0,3,0,0,1,0,0,2,1,1
"33",42,41,2010-10-11,10,4,10,5.52285714285714,68.63,51.0028571428571,0.111923285714286,0,0.428571428571429,934,4,9,4,3,48,10,8,127,17,147,126,144,191,93,3,105,99,131,95,105,68,87,141,102,1,1,0,1,0,0,0,0,1,1,0,2,1,0,2,2,0,1
"34",43,42,2010-10-18,10,4,10,5.68857142857143,63.5128571428571,47.3771428571429,0.0636950357142857,0,0.714285714285714,934,2,13,8,6,52,6,8,113,8,163,139,150,166,95,5,106,98,120,100,100,97,72,128,113,0,0,0,1,0,1,0,0,0,3,0,0,2,0,7,1,0,0
"35",44,43,2010-10-25,10,4,10,5.84285714285714,68.1671428571428,52.9828571428571,0.0992686428571429,0,0.714285714285714,1019,8,5,7,2,50,13,7,109,16,200,147,180,183,89,3,103,106,157,95,133,79,86,142,118,3,0,0,2,0,2,0,1,0,1,0,0,1,0,1,1,1,0
"36",45,44,2010-11-01,11,4,10,6.12428571428571,52.1471428571429,38.0428571428571,0.169009785714286,0,0.571428571428571,847,6,3,7,2,37,6,10,71,13,165,143,113,183,81,7,97,80,144,84,91,56,75,125,88,0,0,2,1,1,0,0,2,0,0,1,0,0,0,1,0,1,0
"37",46,45,2010-11-08,11,4,10,7.09571428571429,59.9257142857143,40.3571428571429,0,0,0.714285714285714,1024,3,11,7,5,70,8,11,105,13,188,166,142,202,86,7,108,123,150,89,131,78,85,128,124,0,0,1,1,0,0,0,0,1,1,1,0,1,2,2,2,2,0
"38",47,46,2010-11-15,11,4,10,7.18857142857143,57.2385714285714,42.9285714285714,0.0859109642857143,0,0.714285714285714,959,5,6,2,2,58,8,19,95,12,166,148,168,171,91,8,99,124,144,82,117,78,81,102,130,0,0,1,1,0,1,2,0,0,0,1,2,0,0,0,3,0,0
"39",48,47,2010-11-22,11,4,10,7.25285714285714,54.2814285714286,39.4314285714286,0.0146681371428571,0,0.428571428571429,917,5,9,6,5,48,7,9,83,6,147,175,174,160,78,5,119,99,126,62,95,76,74,156,108,1,0,2,0,0,0,1,1,0,0,0,2,2,1,2,1,0,1
"40",49,48,2010-11-29,11,4,10,7.28857142857143,47.7757142857143,33.0157142857143,0.157013184285714,0,0.714285714285714,907,3,11,5,2,60,7,14,75,9,127,160,160,186,78,10,117,89,145,58,99,83,73,125,113,0,0,1,0,0,1,0,1,0,2,0,0,1,3,2,1,1,1
"41",50,49,2010-12-06,12,1,10,7.3,37.4514285714286,26.42,0.104375494285714,0.0140607142857143,0.714285714285714,829,4,2,4,6,32,14,9,82,14,138,138,158,152,72,4,82,102,130,63,124,59,80,93,88,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
"42",51,50,2010-12-13,12,1,10,7.27285714285714,32.9385714285714,21.8557142857143,0.0625701785714286,0.136857617172857,0.714285714285714,914,6,8,5,6,50,16,27,91,5,157,149,136,149,104,5,81,103,167,74,101,63,76,138,108,0,1,2,1,0,1,0,0,1,0,0,2,3,0,1,0,0,2
"43",52,51,2010-12-20,12,1,10,7.22428571428571,37.0785714285714,28.0657142857143,0.00150168428571429,0,0.571428571428571,831,5,9,5,3,42,8,9,82,11,122,196,136,130,67,6,92,94,144,64,75,76,80,103,103,1,1,0,1,0,0,1,0,1,0,0,3,2,0,2,1,0,1
"44",53,52,2010-12-27,12,1,10,7.14571428571429,44.3685714285714,27.9114285714286,0.00356579714285714,0.0449942857142857,0,849,4,9,4,2,57,12,5,86,4,125,141,153,171,75,1,92,81,121,78,123,56,64,120,114,0,0,2,0,0,0,0,1,1,1,0,3,2,0,0,0,1,2
"45",54,1,2011-01-03,1,1,11,7.04571428571429,37.22,24.71,0.003937,0.0543680971128571,0.714285714285714,811,4,7,9,1,38,22,12,85,9,161,124,119,161,56,3,82,89,148,63,97,64,94,83,91,0,1,1,2,0,0,0,0,0,0,0,1,1,0,1,3,1,0
"46",55,2,2011-01-10,1,1,11,6.93142857142857,34.2242857142857,23.5785714285714,0.0312147857142857,0.320584285714286,0.714285714285714,755,2,3,4,1,36,18,7,67,8,119,132,114,149,92,3,78,86,124,60,82,59,65,110,91,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0
"47",56,3,2011-01-17,1,1,11,6.8,34.52,24.1442857142857,0.110044774285714,0.298087142857143,0.428571428571429,815,3,8,3,4,49,12,20,103,7,114,168,125,136,60,3,86,97,138,70,89,64,67,111,93,0,0,0,0,0,1,0,2,0,0,0,0,2,1,0,0,5,0
