"","weekofyr","Schizophrenia_tot","Depress_tot","bipolar_tot","othermood_tot","anxiety_tot","OCD_tot","trauma_tot","impulse_tot","personality_tot","eating_tot","somatic_tot","suicidal_tot","misc_tot","neuro_tot","etoh_tot","opioid_tot","weed_tot","sedative_tot","stimulant_tot","halluc_tot","tobacco_tot","othersub_tot","disord_rem_tot","mh_all_tot","substance_tot","mh_minus_sub_tot","indig_mh_all_tot","black_mh_all_tot","asian_mh_all_tot","white_mh_all_tot","latin_mh_all_tot","indig_substance_tot","asian_substance_tot","black_substance_tot","white_substance_tot","latin_substance_tot","indig_mh_minus_sub_tot","asian_mh_minus_sub_tot","black_mh_minus_sub_tot","white_mh_minus_sub_tot","latin_mh_minus_sub_tot","total_pop","na_pop","white_pop","black_pop","asian_pop","hisp_pop","Schizophrenia_incid_c","Depress_incid_c","bipolar_incid_c","othermood_incid_c","anxiety_incid_c","OCD_incid_c","trauma_incid_c","impulse_incid_c","personality_incid_c","eating_incid_c","somatic_incid_c","suicidal_incid_c","misc_incid_c","neuro_incid_c","etoh_incid_c","opioid_incid_c","weed_incid_c","sedative_incid_c","stimulant_incid_c","halluc_incid_c","tobacco_incid_c","othersub_incid_c","disord_rem_incid_c","mh_all_incid_c","substance_incid_c","indig_mh_all_incid_c","asian_mh_all_incid_c","black_mh_all_incid_c","white_mh_all_incid_c","latin_mh_all_incid_c","indig_substance_incid_c","asian_substance_incid_c","black_substance_incid_c","white_substance_incid_c","latin_substance_incid_c","indig_mh_minus_sub_incid_c","asian_mh_minus_sub_incid_c","black_mh_minus_sub_incid_c","white_mh_minus_sub_incid_c","latin_mh_minus_sub_incid_c","year"
"69",16,185,668,145,51,602,12,174,38,104,22,12,224,28,122,530,152,130,29,116,7,8,84,45,1928,1059,869,17,106,14,484,46,14,4,73,234,25,3,10,33,250,21,1080992,8816,758325,155631,77786,84183,0.171139101861993,0.617950919155738,0.134136052810752,0.0471788875403333,0.556895888221189,0.0111009147153725,0.160963263372902,0.0351528965986797,0.0962079275332287,0.020351676978183,0.0111009147153725,0.207217074686954,0.0259021343358693,0.112859299606288,0.490290399928954,0.140611586394719,0.120259909416536,0.0268272105621503,0.107308842248601,0.00647553358396732,0.00740060981024836,0.0777064030076078,0.041628430182647,1.78354696426986,0.979655723631627,1.92831215970962,0.179980973439951,0.681098238782762,0.638248771964527,0.546428613853153,1.58802177858439,0.0514231352685573,0.469058221048506,0.308574819503511,0.296972072746279,0.340290381125227,0.128557838171393,0.212040017734256,0.329673952461016,0.249456541106874,2017
"70",17,175,610,143,50,585,16,188,34,107,16,6,228,29,118,457,125,117,16,116,2,4,89,46,1762,927,835,22,83,11,456,40,25,2,44,206,17,-3,9,39,250,23,1080992,8816,758325,155631,77786,84183,0.161888339599183,0.564296498031438,0.13228590035819,0.0462538113140523,0.541169592374412,0.0148012196204967,0.173914330540837,0.0314525916935555,0.0989831562120719,0.0148012196204967,0.00555045735768627,0.210917379592078,0.0268272105621503,0.109158994701163,0.422759835410438,0.115634528285131,0.108233918474882,0.0148012196204967,0.107308842248601,0.00185015245256209,0.00370030490512418,0.082331784139013,0.0425535064089281,1.6299843107072,0.857545661762529,2.49546279491833,0.141413621988533,0.533312771877068,0.601325289288893,0.475155316394046,2.83575317604356,0.0257115676342787,0.282720023645675,0.271651336827877,0.20194100946747,-0.340290381125227,0.115702054354254,0.250592748231393,0.329673952461016,0.273214306926577,2017
"71",18,181,632,123,45,616,15,165,21,78,11,3,204,32,125,579,120,118,22,135,3,2,110,35,1935,1089,846,12,87,12,465,48,13,4,45,227,24,-1,8,42,238,24,1080992,8816,758325,155631,77786,84183,0.167438796956869,0.584648175009621,0.113784375832569,0.041628430182647,0.569846955389124,0.0138761433942157,0.152637577336373,0.019426600751902,0.0721559456499216,0.0101758384890915,0.00277522867884314,0.188715550161333,0.0296024392409935,0.115634528285131,0.535619135016725,0.111009147153725,0.109158994701163,0.020351676978183,0.124885290547941,0.00277522867884314,0.00185015245256209,0.101758384890915,0.0323776679198366,1.79002249785382,1.00740801042006,1.36116152450091,0.154269405805672,0.559014592208493,0.61319355157749,0.570186379672856,1.47459165154265,0.0514231352685573,0.289145478728531,0.299343948834603,0.285093189836428,-0.113430127041742,0.102846270537115,0.269869113479962,0.313849602742887,0.285093189836428,2017
"72",19,177,619,148,51,594,14,187,29,89,19,4,217,31,120,633,124,116,19,114,4,5,88,40,1973,1105,868,18,93,19,440,46,15,4,57,201,25,3,15,36,239,21,1080992,8816,758325,155631,77786,84183,0.163738492051745,0.572622184067967,0.136911281489595,0.0471788875403333,0.549495278410941,0.0129510671679346,0.172989254314556,0.0268272105621503,0.082331784139013,0.0175764482993399,0.00370030490512418,0.200741541102987,0.0286773630147124,0.111009147153725,0.585573251235902,0.11470945205885,0.107308842248601,0.0175764482993399,0.105458689796039,0.00370030490512418,0.00462538113140523,0.081406707912732,0.0370030490512418,1.8251753944525,1.02220923004056,2.04174228675136,0.244259892525647,0.597567322705631,0.580226156331388,0.546428613853153,1.70145190562613,0.0514231352685573,0.366250939722806,0.265057857778657,0.296972072746279,0.340290381125227,0.19283675725709,0.231316382982825,0.315168298552731,0.249456541106874,2017
"73",20,187,629,158,55,592,17,207,39,96,7,10,217,30,137,547,113,129,20,116,1,5,105,38,1885,1036,849,17,96,16,463,40,19,3,53,208,25,-2,13,43,255,15,1080992,8816,758325,155631,77786,84183,0.172989254314556,0.581872946330778,0.146162043752405,0.0508791924454575,0.547645125958379,0.0157262958467778,0.191490778840176,0.0360779728249608,0.0888073177229804,0.00647553358396732,0.00925076226281045,0.200741541102987,0.0277522867884314,0.126735443000503,0.506016695775732,0.104533613569758,0.119334833190255,0.0185015245256209,0.107308842248601,0.000925076226281045,0.00462538113140523,0.0971330037595098,0.0351528965986797,1.74376868653977,0.958378970427163,1.92831215970962,0.205692541074229,0.616843687954199,0.610556159957802,0.475155316394046,2.1551724137931,0.038567351451418,0.340549119391381,0.274288728447565,0.296972072746279,-0.226860254083485,0.167125189622811,0.276294568562818,0.336267431510236,0.178183243647767,2017
"74",21,188,613,125,59,577,14,171,31,90,12,3,210,25,115,525,120,117,15,109,5,10,118,52,1855,1020,835,20,103,9,436,28,22,4,68,195,9,-2,5,35,241,19,1080992,8816,758325,155631,77786,84183,0.173914330540837,0.567071726710281,0.115634528285131,0.0545794973505817,0.533768982564163,0.0129510671679346,0.158188034694059,0.0286773630147124,0.0832568603652941,0.0111009147153725,0.00277522867884314,0.19426600751902,0.0231269056570261,0.10638376602232,0.485665018797549,0.111009147153725,0.108233918474882,0.0138761433942157,0.100833308664634,0.00462538113140523,0.00925076226281045,0.109158994701163,0.0481039637666144,1.71601639975134,0.943577750806666,2.26860254083485,0.115702054354254,0.661821873534193,0.574951373092012,0.332608721475832,2.49546279491833,0.0514231352685573,0.436930945634225,0.257145682919593,0.10690994618866,-0.226860254083485,0.0642789190856966,0.224890927899969,0.317805690172419,0.225698775287172,2017
"75",22,187,603,145,43,580,9,153,24,80,12,11,192,36,110,581,107,121,10,137,1,3,78,35,1917,1040,877,16,92,16,462,50,9,4,65,189,20,7,12,27,273,30,1080992,8816,758325,155631,77786,84183,0.172989254314556,0.55782096444747,0.134136052810752,0.039778277730085,0.536544211243006,0.00832568603652941,0.141536662621,0.0222018294307451,0.0740060981024836,0.0111009147153725,0.0101758384890915,0.177614635445961,0.0333027441461176,0.101758384890915,0.537469287469287,0.0989831562120719,0.111934223380007,0.00925076226281045,0.126735443000503,0.000925076226281045,0.00277522867884314,0.0721559456499216,0.0323776679198366,1.77337112578076,0.962079275332287,1.81488203266788,0.205692541074229,0.591141867622774,0.609237464147958,0.593944145492558,1.02087114337568,0.0514231352685573,0.417654580385656,0.249233508060528,0.237577658197023,0.794010889292196,0.154269405805672,0.173487287237119,0.36000395608743,0.356366487295535,2017
"76",23,210,651,130,48,631,23,188,22,94,6,11,203,26,120,613,120,115,18,133,5,4,100,40,1925,1110,815,21,100,9,473,29,20,2,66,210,16,1,7,34,263,13,1080992,8816,758325,155631,77786,84183,0.19426600751902,0.602224623308961,0.120259909416536,0.0444036588614902,0.58372309878334,0.021276753204464,0.173914330540837,0.020351676978183,0.0869571652704183,0.00555045735768627,0.0101758384890915,0.187790473935052,0.0240519818833072,0.111009147153725,0.567071726710281,0.111009147153725,0.10638376602232,0.0166513720730588,0.123035138095379,0.00462538113140523,0.00370030490512418,0.0925076226281046,0.0370030490512418,1.78077173559101,1.02683461117196,2.38203266787659,0.115702054354254,0.642545508285624,0.623743118056242,0.344487604385684,2.26860254083485,0.0257115676342787,0.424080035468512,0.276926120067253,0.190062126557619,0.113430127041742,0.0899904867199753,0.218465472817112,0.346816997988989,0.154425477828065,2017
"77",24,185,620,130,41,600,13,164,25,102,15,9,182,14,102,548,103,114,21,134,1,3,91,33,1853,1015,838,22,87,14,472,30,26,7,59,205,13,-4,7,28,267,17,1080992,8816,758325,155631,77786,84183,0.171139101861993,0.573547260294248,0.120259909416536,0.0379281252775229,0.555045735768627,0.0120259909416536,0.151712501110091,0.0231269056570261,0.0943577750806666,0.0138761433942157,0.00832568603652941,0.16836387318315,0.0129510671679346,0.0943577750806666,0.506941772002013,0.0952828513069477,0.105458689796039,0.019426600751902,0.12396021432166,0.000925076226281045,0.00277522867884314,0.0841819365915751,0.0305275154672745,1.71416624729878,0.938952369675261,2.49546279491833,0.179980973439951,0.559014592208493,0.622424422246398,0.356366487295535,2.9491833030853,0.0899904867199753,0.379101849888518,0.270332641018033,0.154425477828065,-0.453720508166969,0.0899904867199753,0.179912742319975,0.352091781228365,0.20194100946747,2017
"78",25,204,569,154,49,563,16,170,29,92,16,7,169,26,126,535,119,112,18,119,8,8,109,50,1845,1030,815,17,103,6,446,32,21,3,78,211,17,-4,3,25,235,15,1080992,8816,758325,155631,77786,84183,0.188715550161333,0.526368372753915,0.142461738847281,0.0453287350877712,0.520817915396229,0.0148012196204967,0.157262958467778,0.0268272105621503,0.0851070128178562,0.0148012196204967,0.00647553358396732,0.156337882241497,0.0240519818833072,0.116559604511412,0.494915781060359,0.110084070927444,0.103608537343477,0.0166513720730588,0.110084070927444,0.00740060981024836,0.00740060981024836,0.100833308664634,0.0462538113140523,1.70676563748853,0.952828513069477,1.92831215970962,0.077134702902836,0.661821873534193,0.588138331190453,0.380124253115237,2.38203266787659,0.038567351451418,0.501185496462787,0.278244815877098,0.20194100946747,-0.453720508166969,0.038567351451418,0.160636377071406,0.309893515313355,0.178183243647767,2017
"79",26,203,631,158,35,594,11,161,28,86,13,7,173,26,133,548,115,122,12,131,4,2,99,38,1885,1036,849,23,109,12,444,38,20,2,65,211,22,3,10,44,233,16,1080992,8816,758325,155631,77786,84183,0.187790473935052,0.58372309878334,0.146162043752405,0.0323776679198366,0.549495278410941,0.0101758384890915,0.148937272431248,0.0259021343358693,0.0795565554601699,0.0120259909416536,0.00647553358396732,0.160038187146621,0.0240519818833072,0.123035138095379,0.506941772002013,0.10638376602232,0.112859299606288,0.0111009147153725,0.121184985642817,0.00370030490512418,0.00185015245256209,0.0915825464018235,0.0351528965986797,1.74376868653977,0.958378970427163,2.60889292196007,0.154269405805672,0.700374604031331,0.585500939570764,0.451397550574344,2.26860254083485,0.0257115676342787,0.417654580385656,0.278244815877098,0.261335424016725,0.340290381125227,0.128557838171393,0.282720023645675,0.307256123693667,0.190062126557619,2017
"80",27,195,577,138,53,573,15,133,30,92,15,9,180,12,127,577,114,110,14,136,3,2,111,41,1892,1070,822,14,101,12,438,34,17,5,84,209,17,-3,7,17,229,17,1080992,8816,758325,155631,77786,84183,0.180389864124804,0.533768982564163,0.127660519226784,0.0490290399928954,0.530068677659039,0.0138761433942157,0.123035138095379,0.0277522867884314,0.0851070128178562,0.0138761433942157,0.00832568603652941,0.166513720730588,0.0111009147153725,0.117484680737693,0.533768982564163,0.105458689796039,0.101758384890915,0.0129510671679346,0.125810366774222,0.00277522867884314,0.00185015245256209,0.102683461117196,0.0379281252775229,1.75024422012374,0.989831562120719,1.58802177858439,0.154269405805672,0.648970963368481,0.5775887647117,0.403882018934939,1.92831215970962,0.0642789190856966,0.539738226959924,0.275607424257409,0.20194100946747,-0.340290381125227,0.0899904867199753,0.109232736408556,0.301981340454291,0.20194100946747,2017
"81",28,205,675,140,46,625,14,189,23,110,10,11,196,29,125,587,128,128,24,132,7,3,100,59,1979,1110,869,23,91,5,463,35,27,1,72,211,10,-4,4,19,252,25,1080992,8816,758325,155631,77786,84183,0.189640626387614,0.624426452739706,0.129510671679346,0.0425535064089281,0.578172641425653,0.0129510671679346,0.174839406767118,0.021276753204464,0.101758384890915,0.00925076226281045,0.0101758384890915,0.181314940351085,0.0268272105621503,0.115634528285131,0.543019744826974,0.118409756963974,0.118409756963974,0.0222018294307451,0.122110061869098,0.00647553358396732,0.00277522867884314,0.0925076226281046,0.0545794973505817,1.83072585181019,1.02683461117196,2.60889292196007,0.0642789190856966,0.584716412539918,0.610556159957802,0.415760901844791,3.06261343012704,0.0128557838171393,0.46263276596565,0.278244815877098,0.118788829098512,-0.453720508166969,0.0514231352685573,0.122083646574269,0.332311344080704,0.296972072746279,2017
"82",29,210,615,136,60,635,20,183,22,82,19,8,195,28,114,531,111,127,16,132,2,6,107,44,1881,1034,847,10,92,11,468,38,14,3,68,213,23,-4,8,24,255,15,1080992,8816,758325,155631,77786,84183,0.19426600751902,0.568921879162843,0.125810366774222,0.0555045735768627,0.587423403688464,0.0185015245256209,0.169288949409431,0.020351676978183,0.0758562505550457,0.0175764482993399,0.00740060981024836,0.180389864124804,0.0259021343358693,0.105458689796039,0.491215476155235,0.102683461117196,0.117484680737693,0.0148012196204967,0.122110061869098,0.00185015245256209,0.00555045735768627,0.0989831562120719,0.040703353956366,1.74006838163465,0.956528817974601,1.13430127041742,0.141413621988533,0.591141867622774,0.617149639007022,0.451397550574344,1.58802177858439,0.038567351451418,0.436930945634225,0.280882207496786,0.273214306926577,-0.453720508166969,0.102846270537115,0.15421092198855,0.336267431510236,0.178183243647767,2017
"83",30,210,625,153,45,641,11,169,20,93,8,11,199,39,117,518,119,119,23,131,5,3,110,45,1897,1030,867,21,75,12,440,27,17,4,59,199,15,4,8,16,241,12,1080992,8816,758325,155631,77786,84183,0.19426600751902,0.578172641425653,0.141536662621,0.041628430182647,0.59297386104615,0.0101758384890915,0.156337882241497,0.0185015245256209,0.0860320890441372,0.00740060981024836,0.0101758384890915,0.184090169029928,0.0360779728249608,0.108233918474882,0.479189485213582,0.110084070927444,0.110084070927444,0.021276753204464,0.121184985642817,0.00462538113140523,0.00277522867884314,0.101758384890915,0.041628430182647,1.75486960125514,0.952828513069477,2.38203266787659,0.154269405805672,0.481909131214218,0.580226156331388,0.320729838565981,1.92831215970962,0.0514231352685573,0.379101849888518,0.262420466158969,0.178183243647767,0.453720508166969,0.102846270537115,0.1028072813257,0.317805690172419,0.142546594918214,2017
"84",31,208,597,131,49,611,12,181,21,96,13,7,194,29,123,557,126,118,21,132,6,7,120,37,1896,1089,807,15,81,4,397,37,17,0,48,206,18,-2,4,33,191,19,1080992,8816,758325,155631,77786,84183,0.192415855066457,0.552270507089784,0.121184985642817,0.0453287350877712,0.565221574257719,0.0111009147153725,0.167438796956869,0.019426600751902,0.0888073177229804,0.0120259909416536,0.00647553358396732,0.179464787898523,0.0268272105621503,0.113784375832569,0.515267458038542,0.116559604511412,0.109158994701163,0.019426600751902,0.122110061869098,0.00555045735768627,0.00647553358396732,0.111009147153725,0.0342278203723987,1.75394452502886,1.00740801042006,1.70145190562613,0.0514231352685573,0.520461861711356,0.523522236508093,0.439518667664493,1.92831215970962,0,0.3084218439771,0.271651336827877,0.213819892377321,-0.226860254083485,0.0514231352685573,0.212040017734256,0.251870899680216,0.225698775287172,2017
"85",32,203,660,141,40,598,11,176,25,111,14,9,217,28,132,573,103,130,20,148,9,4,125,35,1942,1113,829,19,92,8,427,39,19,6,63,196,30,0,2,29,231,9,1080992,8816,758325,155631,77786,84183,0.187790473935052,0.61055030934549,0.130435747905627,0.0370030490512418,0.553195583316065,0.0101758384890915,0.162813415825464,0.0231269056570261,0.102683461117196,0.0129510671679346,0.00832568603652941,0.200741541102987,0.0259021343358693,0.122110061869098,0.530068677659039,0.0952828513069477,0.120259909416536,0.0185015245256209,0.136911281489595,0.00832568603652941,0.00370030490512418,0.115634528285131,0.0323776679198366,1.79649803143779,1.0296098398508,2.1551724137931,0.102846270537115,0.591141867622774,0.563083110803415,0.463276433484195,2.1551724137931,0.077134702902836,0.404803670219943,0.258464378729437,0.356366487295535,0,0.0257115676342787,0.186338197402831,0.304618732073979,0.10690994618866,2017
"86",33,222,631,122,48,596,17,171,14,83,11,11,178,31,123,497,126,122,17,126,2,1,113,43,1846,1004,842,14,95,7,438,38,10,4,48,196,16,4,3,47,242,22,1080992,8816,758325,155631,77786,84183,0.205366922234392,0.58372309878334,0.112859299606288,0.0444036588614902,0.551345430863503,0.0157262958467778,0.158188034694059,0.0129510671679346,0.0767813267813268,0.0101758384890915,0.0101758384890915,0.164663568278026,0.0286773630147124,0.113784375832569,0.45976288446168,0.116559604511412,0.112859299606288,0.0157262958467778,0.116559604511412,0.00185015245256209,0.000925076226281045,0.104533613569758,0.039778277730085,1.70769071371481,0.92877653118617,1.58802177858439,0.0899904867199753,0.610418232871343,0.5775887647117,0.451397550574344,1.13430127041742,0.0514231352685573,0.3084218439771,0.258464378729437,0.190062126557619,0.453720508166969,0.038567351451418,0.301996388894243,0.319124385982264,0.261335424016725,2017
"87",34,204,593,155,23,587,13,143,23,78,10,12,163,20,93,513,113,100,23,127,3,2,78,46,1786,960,826,19,84,10,473,37,14,4,59,213,17,5,6,25,260,20,1080992,8816,758325,155631,77786,84183,0.188715550161333,0.54857020218466,0.143386815073562,0.021276753204464,0.543019744826974,0.0120259909416536,0.13228590035819,0.021276753204464,0.0721559456499216,0.00925076226281045,0.0111009147153725,0.15078742488381,0.0185015245256209,0.0860320890441372,0.474564104082176,0.104533613569758,0.0925076226281046,0.021276753204464,0.117484680737693,0.00277522867884314,0.00185015245256209,0.0721559456499216,0.0425535064089281,1.65218614013795,0.888073177229804,2.1551724137931,0.128557838171393,0.539738226959924,0.623743118056242,0.439518667664493,1.58802177858439,0.0514231352685573,0.379101849888518,0.280882207496786,0.20194100946747,0.567150635208711,0.077134702902836,0.160636377071406,0.342860910559457,0.237577658197023,2017
"88",35,237,621,146,47,590,17,163,16,96,14,11,197,30,119,585,138,123,24,143,6,5,114,32,1933,1139,794,15,107,11,483,34,19,3,78,233,18,-4,8,29,250,16,1080992,8816,758325,155631,77786,84183,0.219243065628608,0.574472336520529,0.135061129037033,0.0434785826352091,0.545794973505817,0.0157262958467778,0.15078742488381,0.0148012196204967,0.0888073177229804,0.0129510671679346,0.0101758384890915,0.182240016577366,0.0277522867884314,0.110084070927444,0.541169592374412,0.127660519226784,0.113784375832569,0.0222018294307451,0.13228590035819,0.00555045735768627,0.00462538113140523,0.105458689796039,0.0296024392409935,1.78817234540126,1.05366182173411,1.70145190562613,0.141413621988533,0.687523693865618,0.636930076154683,0.403882018934939,2.1551724137931,0.038567351451418,0.501185496462787,0.307256123693667,0.213819892377321,-0.453720508166969,0.102846270537115,0.186338197402831,0.329673952461016,0.190062126557619,2017
"89",36,187,578,133,50,580,10,157,21,87,11,5,214,27,115,563,142,110,24,150,3,2,100,38,1832,1095,737,19,111,8,427,22,27,5,72,237,14,-8,3,39,190,8,1080992,8816,758325,155631,77786,84183,0.172989254314556,0.534694058790444,0.123035138095379,0.0462538113140523,0.536544211243006,0.00925076226281045,0.145236967526124,0.019426600751902,0.080481631686451,0.0101758384890915,0.00462538113140523,0.197966312424144,0.0249770581095882,0.10638376602232,0.520817915396229,0.131360824131908,0.101758384890915,0.0222018294307451,0.138761433942157,0.00277522867884314,0.00185015245256209,0.0925076226281046,0.0351528965986797,1.69473964654688,1.01295846777775,2.1551724137931,0.102846270537115,0.713225514197043,0.563083110803415,0.261335424016725,3.06261343012704,0.0642789190856966,0.46263276596565,0.312530906933043,0.166304360737916,-0.907441016333938,0.038567351451418,0.250592748231393,0.250552203870372,0.0950310632788093,2017
"90",37,223,637,142,56,635,16,179,19,96,17,6,212,28,136,562,151,120,16,135,4,1,91,39,1942,1083,859,19,105,13,484,45,18,5,71,216,23,1,8,34,268,22,1080992,8816,758325,155631,77786,84183,0.206291998460673,0.589273556141026,0.131360824131908,0.0518042686717386,0.587423403688464,0.0148012196204967,0.165588644504307,0.0175764482993399,0.0888073177229804,0.0157262958467778,0.00555045735768627,0.196116159971582,0.0259021343358693,0.125810366774222,0.519892839169948,0.139686510168438,0.111009147153725,0.0148012196204967,0.124885290547941,0.00370030490512418,0.000925076226281045,0.0841819365915751,0.0360779728249608,1.79649803143779,1.00185755306237,2.1551724137931,0.167125189622811,0.674672783699905,0.638248771964527,0.534549730943302,2.04174228675136,0.0642789190856966,0.456207310882793,0.284838294926318,0.273214306926577,0.113430127041742,0.102846270537115,0.218465472817112,0.353410477038209,0.261335424016725,2017
"91",38,215,640,127,41,633,18,186,32,96,15,7,230,34,126,518,119,118,20,123,3,5,114,43,1936,1021,915,27,100,15,465,33,33,4,65,201,21,-6,11,35,264,12,1080992,8816,758325,155631,77786,84183,0.198891388650425,0.592048784819869,0.117484680737693,0.0379281252775229,0.585573251235902,0.0166513720730588,0.172064178088274,0.0296024392409935,0.0888073177229804,0.0138761433942157,0.00647553358396732,0.21276753204464,0.0314525916935555,0.116559604511412,0.479189485213582,0.110084070927444,0.109158994701163,0.0185015245256209,0.113784375832569,0.00277522867884314,0.00462538113140523,0.105458689796039,0.039778277730085,1.7909475740801,0.944502827032948,3.06261343012704,0.19283675725709,0.642545508285624,0.61319355157749,0.392003136025088,3.7431941923775,0.0514231352685573,0.417654580385656,0.265057857778657,0.249456541106874,-0.680580762250454,0.141413621988533,0.224890927899969,0.348135693798833,0.142546594918214,2017
"92",39,170,639,131,48,605,13,161,26,86,14,7,219,31,133,479,110,150,12,128,2,4,109,44,1859,994,865,19,95,10,491,33,18,3,63,204,14,1,7,32,287,19,1080992,8816,758325,155631,77786,84183,0.157262958467778,0.591123708593588,0.121184985642817,0.0444036588614902,0.559671116900033,0.0120259909416536,0.148937272431248,0.0240519818833072,0.0795565554601699,0.0129510671679346,0.00647553358396732,0.202591693555549,0.0286773630147124,0.123035138095379,0.443111512388621,0.101758384890915,0.138761433942157,0.0111009147153725,0.118409756963974,0.00185015245256209,0.00370030490512418,0.100833308664634,0.040703353956366,1.71971670465646,0.919525768923359,2.1551724137931,0.128557838171393,0.610418232871343,0.647479642633436,0.392003136025088,2.04174228675136,0.038567351451418,0.404803670219943,0.269013945208189,0.166304360737916,0.113430127041742,0.0899904867199753,0.2056145626514,0.378465697425246,0.225698775287172,2017
"93",40,226,612,135,56,569,16,162,16,80,9,10,214,31,111,550,124,144,20,149,2,3,154,63,1936,1146,790,12,126,7,470,42,14,0,113,224,22,-2,7,13,246,20,1080992,8816,758325,155631,77786,84183,0.209067227139516,0.566146650484,0.124885290547941,0.0518042686717386,0.526368372753915,0.0148012196204967,0.149862348657529,0.0148012196204967,0.0740060981024836,0.00832568603652941,0.00925076226281045,0.197966312424144,0.0286773630147124,0.102683461117196,0.508791924454575,0.11470945205885,0.133210976584471,0.0185015245256209,0.137836357715876,0.00185015245256209,0.00277522867884314,0.142461738847281,0.0582798022557059,1.7909475740801,1.06013735531808,1.36116152450091,0.0899904867199753,0.809607340439887,0.61978703062671,0.498913082213749,1.58802177858439,0,0.726076424362756,0.29538786140507,0.261335424016725,-0.226860254083485,0.0899904867199753,0.0835309160771312,0.32439916922164,0.237577658197023,2017
"94",41,208,661,156,51,604,12,202,27,102,13,14,240,35,132,540,106,140,14,123,3,2,93,60,1967,1023,944,29,130,8,509,42,22,1,89,208,19,7,7,41,301,23,1080992,8816,758325,155631,77786,84183,0.192415855066457,0.611475385571771,0.144311891299843,0.0471788875403333,0.558746040673752,0.0111009147153725,0.186865397708771,0.0249770581095882,0.0943577750806666,0.0120259909416536,0.0129510671679346,0.222018294307451,0.0323776679198366,0.122110061869098,0.499541162191765,0.0980580799857908,0.129510671679346,0.0129510671679346,0.113784375832569,0.00277522867884314,0.00185015245256209,0.0860320890441372,0.0555045735768627,1.81962493709482,0.94635297948551,3.28947368421053,0.102846270537115,0.835309160771312,0.671216167210629,0.498913082213749,2.49546279491833,0.0128557838171393,0.571865502374206,0.274288728447565,0.225698775287172,0.794010889292196,0.0899904867199753,0.263443658397106,0.396927438763063,0.273214306926577,2017
"95",42,197,597,145,42,574,13,153,15,90,12,10,193,13,112,548,115,169,18,125,6,4,98,62,1874,1085,789,20,119,8,462,43,24,8,87,224,20,-4,0,32,238,23,1080992,8816,758325,155631,77786,84183,0.182240016577366,0.552270507089784,0.134136052810752,0.0388532015038039,0.53099375388532,0.0120259909416536,0.141536662621,0.0138761433942157,0.0832568603652941,0.0111009147153725,0.00925076226281045,0.178539711672242,0.0120259909416536,0.103608537343477,0.506941772002013,0.10638376602232,0.156337882241497,0.0166513720730588,0.115634528285131,0.00555045735768627,0.00370030490512418,0.0906574701755425,0.0573547260294248,1.73359284805068,1.00370770551493,2.26860254083485,0.102846270537115,0.764629154859893,0.609237464147958,0.5107919651236,2.72232304900181,0.102846270537115,0.559014592208493,0.29538786140507,0.237577658197023,-0.453720508166969,0,0.2056145626514,0.313849602742887,0.273214306926577,2017
"96",43,179,626,138,49,571,17,171,31,97,18,10,212,24,118,455,127,129,18,110,4,1,102,55,1794,947,847,21,106,15,467,31,18,7,75,199,13,3,8,31,268,18,1080992,8816,758325,155631,77786,84183,0.165588644504307,0.579097717651935,0.127660519226784,0.0453287350877712,0.528218525206477,0.0157262958467778,0.158188034694059,0.0286773630147124,0.0897323939492614,0.0166513720730588,0.00925076226281045,0.196116159971582,0.0222018294307451,0.109158994701163,0.420909682957876,0.117484680737693,0.119334833190255,0.0166513720730588,0.101758384890915,0.00370030490512418,0.000925076226281045,0.0943577750806666,0.0508791924454575,1.6595867499482,0.87604718628815,2.38203266787659,0.19283675725709,0.681098238782762,0.615830943197178,0.368245370205386,2.04174228675136,0.0899904867199753,0.481909131214218,0.262420466158969,0.154425477828065,0.340290381125227,0.102846270537115,0.199189107568544,0.353410477038209,0.213819892377321,2017
"97",44,192,597,148,48,611,18,184,30,90,13,8,198,30,119,496,113,141,22,138,6,4,117,64,1848,1037,811,22,111,8,462,39,16,3,87,228,29,6,5,24,234,10,1080992,8816,758325,155631,77786,84183,0.177614635445961,0.552270507089784,0.136911281489595,0.0444036588614902,0.565221574257719,0.0166513720730588,0.170214025635712,0.0277522867884314,0.0832568603652941,0.0120259909416536,0.00740060981024836,0.183165092803647,0.0277522867884314,0.110084070927444,0.458837808235399,0.104533613569758,0.130435747905627,0.020351676978183,0.127660519226784,0.00555045735768627,0.00370030490512418,0.108233918474882,0.0592048784819869,1.70954086616737,0.959304046653444,2.49546279491833,0.102846270537115,0.713225514197043,0.609237464147958,0.463276433484195,1.81488203266788,0.038567351451418,0.559014592208493,0.300662644644447,0.344487604385684,0.680580762250454,0.0642789190856966,0.15421092198855,0.308574819503511,0.118788829098512,2017
